p_sigma,p_mu,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.0,0.0615848211066026,7,3,50000,24802,0.49604,0.1653466667,heterogeneous
0.006,0.0615848211066026,7,3,50000,25092,0.50184,0.16728,heterogeneous
0.009,0.0615848211066026,7,3,50000,25262,0.50524,0.1684133333,heterogeneous
0.011,0.0615848211066026,7,3,50000,25046,0.50092,0.1669733333,heterogeneous
0.015,0.0615848211066026,7,3,50000,24835,0.4967,0.1655666667,heterogeneous
0.0,0.0784759970351461,7,3,50000,24972,0.49944,0.16648,heterogeneous
0.006,0.0784759970351461,7,3,50000,24908,0.49816,0.1660533333,heterogeneous
0.009,0.0784759970351461,7,3,50000,25075,0.5015,0.1671666667,heterogeneous
0.011,0.0784759970351461,7,3,50000,24904,0.49808,0.1660266667,heterogeneous
0.015,0.0784759970351461,7,3,50000,24865,0.4973,0.1657666667,heterogeneous
0.0,0.1,7,3,50000,25035,0.5007,0.1669,heterogeneous
0.006,0.1,7,3,50000,24954,0.49908,0.16636,heterogeneous
0.009,0.1,7,3,50000,25155,0.5031,0.1677,heterogeneous
0.011,0.1,7,3,50000,25074,0.50148,0.16716,heterogeneous
0.015,0.1,7,3,50000,25099,0.50198,0.1673266667,heterogeneous
0.0,0.001,9,3,50000,2,4e-05,1.333333333e-05,heterogeneous
0.0,0.00162377673918872,9,3,50000,14,0.00028,9.333333333e-05,heterogeneous
0.015,0.00127427498570313,9,3,50000,10443,0.20886,0.06962,heterogeneous
0.006,0.00162377673918872,9,3,50000,1080,0.0216,0.0072,heterogeneous
0.006,0.00127427498570313,9,3,50000,1114,0.02228,0.007426666667,heterogeneous
0.006,0.001,9,3,50000,750,0.015,0.005,heterogeneous
0.015,0.001,9,3,50000,11887,0.23774,0.07924666667,heterogeneous
0.0,0.00127427498570313,9,3,50000,4,8e-05,2.666666667e-05,heterogeneous
0.009,0.00127427498570313,9,3,50000,4158,0.08316,0.02772,heterogeneous
0.011,0.00127427498570313,9,3,50000,6597,0.13194,0.04398,heterogeneous
0.009,0.001,9,3,50000,3687,0.07374,0.02458,heterogeneous
0.011,0.001,9,3,50000,6146,0.12292,0.04097333333,heterogeneous
0.009,0.00162377673918872,9,3,50000,4025,0.0805,0.02683333333,heterogeneous
0.015,0.00162377673918872,9,3,50000,16813,0.33626,0.1120866667,heterogeneous
0.011,0.00162377673918872,9,3,50000,5504,0.11008,0.03669333333,heterogeneous
0.0,0.00206913808111479,9,3,50000,36,0.00072,0.00024,heterogeneous
0.006,0.00206913808111479,9,3,50000,884,0.01768,0.005893333333,heterogeneous
0.009,0.00206913808111479,9,3,50000,3538,0.07076,0.02358666667,heterogeneous
0.011,0.00206913808111479,9,3,50000,6142,0.12284,0.04094666667,heterogeneous
0.0,0.00263665089873036,9,3,50000,82,0.00164,0.0005466666667,heterogeneous
0.015,0.00206913808111479,9,3,50000,12358,0.24716,0.08238666667,heterogeneous
0.006,0.00263665089873036,9,3,50000,1542,0.03084,0.01028,heterogeneous
0.009,0.00263665089873036,9,3,50000,3835,0.0767,0.02556666667,heterogeneous
0.011,0.00263665089873036,9,3,50000,6679,0.13358,0.04452666667,heterogeneous
0.015,0.00263665089873036,9,3,50000,14569,0.29138,0.09712666667,heterogeneous
0.0,0.00335981828628378,9,3,50000,238,0.00476,0.001586666667,heterogeneous
0.006,0.00335981828628378,9,3,50000,1508,0.03016,0.01005333333,heterogeneous
0.009,0.00335981828628378,9,3,50000,5412,0.10824,0.03608,heterogeneous
0.011,0.00335981828628378,9,3,50000,8539,0.17078,0.05692666667,heterogeneous
